obsid,species,duration,attempts,Rinter,Rintra,Iinter,Iintra,Successes
001023Tin,Phleg,4:00:00,4,0,0,0,0,3
001023Tina,Phleg,4:00:00,4,0,0,0,0,3
001026Izua,M. fort,3:00:00,0,0,0,0,0,0
001026Izua,M. fort,3:00:00,1,0,0,0,0,1
001026Smaa,Phleg,4:00:00,3,0,0,0,0,0
001102Izua,G. sal,3:04:00,1,0,0,0,0,1
001102Tita,D. mer,4:00:00,2,0,0,0,0,1
001104Riv,M. fort,2:50:00,2,0,0,0,0,1
001108Izu,Rheg,3:50:00,2,0,0,0,0,2
001108Tita,Rheg,4:00:00,3,0,0,0,0,1
001110Cada,D. mer,4:00:00,1,0,0,0,1,0
001114Lab,Rheg,4:00:00,1,0,0,0,0,0
001117Izu,G. sal,4:00:00,0,0,0,0,0,0
001118Tin,G. sal,4:00:00,4,0,0,0,0,3
001124Izu,G. sal,2:50:00,1,0,0,0,0,1
001125Lab,Phleg,3:00:00,2,0,0,0,0,0
001125Lab,Phleg,3:00:00,3,0,0,0,0,0
001125Lab,Phleg,3:00:00,3,0,0,0,0,1
001125Lab,Phleg,4:00:00,4,0,0,0,0,1
001125Lab,D. mer,3:45:00,5,0,0,0,0,4
001127Edwa,Rheg,1:20:00,1,0,0,0,0,1
001127Edwa,Rheg,4:00:00,2,0,1,0,0,1
001128Edw,G. sal,1:20:00,2,0,0,0,0,0
001128Edw,G. sal,3:50:00,1,0,0,0,0,1
001128Edw,Phleg,1:50:00,2,0,0,0,0,1
001128Edw,G. sal,1:55:00,3,2,0,0,0,1
001128Edw,Rheg,4:00:00,6,0,0,0,0,5
001128Edwa,Rheg,1:00:00,2,0,0,0,0,0
001128Lab,M. fort,1:30:00,0,0,0,0,0,0
001128Lab,M. fort,4:00:00,0,0,0,0,0,0
001128Lab,G. sal,4:00:00,2,0,0,0,0,0
001128Lab,M. fort,2:00:00,3,0,1,0,0,3
001129Lab,G. sal,3:00:00,1,0,0,0,0,0
001129Lab,G. sal,4:00:00,2,0,0,0,0,1
001129Lab,Rheg,3:20:00,3,0,0,0,0,1
001129Lab,G. sal,4:00:00,5,0,0,0,0,3
001130Edw,Phleg,4:00:00,2,0,0,0,0,2
001130Tit,D. mer,4:00:00,0,0,0,0,0,0
001201Izu,G. sal,1:20:00,2,0,0,0,0,1
001201Izu,G. sal,4:00:00,3,0,0,0,0,1
001201Izu,Phleg,3:30:00,2,0,1,0,0,2
001201Izu,G. sal,3:30:00,7,0,0,0,0,5
001201Lab,D. mer,4:00:00,0,0,0,0,0,0
001201Lab,M. fort,1:30:00,1,0,0,0,0,1
001201Lab,M. fort,2:00:00,2,0,0,0,0,1
001201Lab,Rheg,2:05:00,2,0,0,0,0,2
001201Tin,Phleg,2:30:00,2,0,0,0,0,0
001201Tin,Phleg,4:00:00,4,0,0,0,0,1
001202Gna,G. sal,1:45:00,2,0,0,0,0,0
001202Gna,G. sal,2:30:00,2,0,0,0,0,2
001202Tin,Phleg,3:30:00,0,0,0,0,0,0
001204Edw,Rheg,1:30:00,1,0,0,0,0,1
001204Edw,G. sal,1:44:00,2,0,0,0,0,1
001204Edw,Rheg,2:00:00,2,0,0,0,0,1
001204Edw,Phleg,2:56:00,2,0,0,0,0,1
001204Edw,G. sal,1:22:00,2,0,0,0,0,2
001204Edw,Rheg,3:00:00,3,0,0,0,0,2
001204Edw,Phleg,3:40:00,4,0,0,0,0,2
001208Edw,Rheg,3:10:00,3,0,0,0,0,1
001208Edw,Rheg,1:00:00,2,0,0,0,0,2
001208Edw,G. sal,3:20:00,6,0,2,0,0,4
001209Gna,D. mer,3:10:00,0,0,0,0,0,0
001209Nod,G. sal,3:00:00,0,0,0,0,0,0
001209Nod,G. sal,4:00:00,0,0,0,0,0,0
001209Nod,Phleg,2:40:00,1,0,0,0,0,1
001213Edw,Rheg,3:00:00,3,0,0,0,0,2
001215Lab,Rheg,4:00:00,3,0,0,0,0,3
001215Stu,M. fort,1:30:00,2,0,0,0,0,2
001216Lab,Phleg,1:00:00,1,0,0,0,0,1
001216Lab,Phleg,2:00:00,2,0,0,0,0,2
001216Lab,Rheg,4:00:00,5,0,0,0,0,2
001216Tin,D. mer,1:20:00,2,0,0,0,0,1
001219Gna,G. sal,4:00:00,0,3,0,0,0,0
001219Izu,Rheg,4:00:00,3,0,0,0,0,2
001222Edw,Phleg,1:55:00,1,0,0,0,0,1
001222Izu,G. sal,1:30:00,1,0,0,0,0,0
001222Izu,Phleg,3:20:00,1,0,0,0,0,1
001223Gna,M. fort,4:00:00,1,0,0,0,0,0
001226Izu,D. mer,4:00:00,0,0,0,0,0,0
001226Izu,G. sal,2:35:00,3,0,0,0,0,3
001226Lab,G. sal,4:00:00,4,0,0,0,0,3
001226Lab,G. sal,4:00:00,5,0,0,0,0,3
001226Tit,Phleg,4:00:00,4,0,0,0,0,2
001226Tit,G. sal,1:40:00,3,0,0,0,0,3
001228Edw,Phleg,1:00:00,1,0,0,0,0,1
001228Edw,Phleg,1:30:00,1,0,0,0,0,1
001228Edw,D. mer,3:00:00,1,0,0,0,0,1
001228Edw,Phleg,2:22:00,2,0,0,0,0,2
001228Izu,G. sal,2:00:00,0,0,0,0,0,0
001228Izu,G. sal,2:00:00,3,0,0,0,0,0
001228Izu,G. sal,5:00:00,3,0,0,0,0,2
001228Tit,D. mer,4:00:00,2,0,0,0,0,2
001228Tit,Phleg,2:15:00,3,0,0,0,0,3
001228Tit,D. mer,4:00:00,5,0,0,0,0,3
001230Edw,Phleg,1:20:00,1,0,0,0,0,0
001230Edw,Phleg,1:00:00,1,0,0,0,0,1
001230Edw,Phleg,1:30:00,2,0,0,0,1,2
001230Edw,Phleg,8:20:00,6,0,0,0,0,3
001230Tit,Rheg,1:47:00,0,0,0,0,0,0
001230Tit,Rheg,1:15:00,2,0,0,0,0,0
010102Izu,G. sal,1:15:00,0,0,0,0,0,0
010102Izu,Rheg,2:00:00,3,0,0,0,0,0
010102Izu,M. fort,3:00:00,6,0,0,0,0,2
010102Let,G. sal,2:45:00,0,0,0,0,0,0
010102Let,G. sal,3:40:00,2,0,0,0,0,2
010103Edw,Phleg,1:30:00,0,0,0,0,0,0
010103Edw,Phleg,1:45:00,0,0,0,0,0,0
010103Edw,M. fort,2:00:00,0,0,0,0,0,0
010103Edw,Phleg,2:00:00,0,0,0,0,0,0
010103Edw,Phleg,2:00:00,0,0,0,0,0,0
010103Edw,Phleg,2:56:00,0,0,0,0,0,0
010103Edw,Phleg,6:30:00,3,0,0,0,0,0
010103Edw,Phleg,2:50:00,2,0,0,0,0,1
010103Edw,Phleg,3:22:00,4,0,0,0,1,4
010103Izu,G. sal,3:00:00,2,0,0,0,0,0
010103Izu,G. sal,4:00:00,2,1,0,0,0,1
010103Let,Phleg,1:10:00,0,0,0,0,0,0
010103Let,Phleg,2:00:00,0,0,0,0,0,0
