obsid,species,duration,attempts,Rinter,Rintra,Iinter,Iintra,Successes,rsa,roa,isa,ioa,Failures
001023Tin,Phleg,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
001023Tina,Phleg,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
001026Izua,M. fort,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001026Izua,M. fort,03:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001026Smaa,Phleg,04:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
001102Izua,G. sal,03:04:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001102Tita,D. mer,04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001104Riv,M. fort,02:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001108Izu,Rheg,03:50:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001108Tita,Rheg,04:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001110Cada,D. mer,04:00:00,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,1
001114Lab,Rheg,04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001117Izu,G. sal,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001118Tin,G. sal,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
001124Izu,G. sal,02:50:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001125Lab,Phleg,03:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001125Lab,Phleg,03:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,3
001125Lab,Phleg,03:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001125Lab,Phleg,04:00:00,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,3
001125Lab,D. mer,03:45:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,1
001127Edwa,Rheg,01:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001127Edwa,Rheg,04:00:00,2,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,1
001128Edw,G. sal,01:20:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001128Edw,G. sal,03:50:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001128Edw,Phleg,01:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001128Edw,G. sal,01:55:00,3,2,0,0,0,1,TRUE,FALSE,FALSE,FALSE,2
001128Edw,Rheg,04:00:00,6,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,1
001128Edwa,Rheg,01:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001128Lab,M. fort,01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001128Lab,M. fort,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001128Lab,G. sal,04:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001128Lab,M. fort,02:00:00,3,0,1,0,0,3,FALSE,TRUE,FALSE,FALSE,0
001129Lab,G. sal,03:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001129Lab,G. sal,04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001129Lab,Rheg,03:20:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001129Lab,G. sal,04:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,2
001130Edw,Phleg,04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001130Tit,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001201Izu,G. sal,01:20:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001201Izu,G. sal,04:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001201Izu,Phleg,03:30:00,2,0,1,0,0,2,FALSE,TRUE,FALSE,FALSE,0
001201Izu,G. sal,03:30:00,7,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,2
001201Lab,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001201Lab,M. fort,01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001201Lab,M. fort,02:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001201Lab,Rheg,02:05:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001201Tin,Phleg,02:30:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001201Tin,Phleg,04:00:00,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,3
001202Gna,G. sal,01:45:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,2
001202Gna,G. sal,02:30:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001202Tin,Phleg,03:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001204Edw,Rheg,01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001204Edw,G. sal,01:44:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001204Edw,Rheg,02:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001204Edw,Phleg,02:56:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001204Edw,G. sal,01:22:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001204Edw,Rheg,03:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
001204Edw,Phleg,03:40:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,2
001208Edw,Rheg,03:10:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,2
001208Edw,Rheg,01:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001208Edw,G. sal,03:20:00,6,0,2,0,0,4,FALSE,TRUE,FALSE,FALSE,2
001209Gna,D. mer,03:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001209Nod,G. sal,03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001209Nod,G. sal,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001209Nod,Phleg,02:40:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001213Edw,Rheg,03:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
001215Lab,Rheg,04:00:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
001215Stu,M. fort,01:30:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001216Lab,Phleg,01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001216Lab,Phleg,02:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,0
001216Lab,Rheg,04:00:00,5,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,3
001216Tin,D. mer,01:20:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,1
001219Gna,G. sal,04:00:00,0,3,0,0,0,0,TRUE,FALSE,FALSE,FALSE,0
001219Izu,Rheg,04:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,1
001222Edw,Phleg,01:55:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001222Izu,G. sal,01:30:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001222Izu,Phleg,03:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0
001223Gna,M. fort,04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,1
001226Izu,D. mer,04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0
001226Izu,G. sal,02:35:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,0
001226Lab,G. sal,04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,1
