"","obsid","species","duration","attempts","Rinter","Rintra","Iinter","Iintra","Successes","rsa","roa","isa","ioa"
"1","001023Tin","Phleg",04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"2","001023Tina","Phleg",04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"3","001026Izua","M. fort",03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"4","001026Izua","M. fort",03:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"5","001026Smaa","Phleg",04:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"6","001102Izua","G. sal",03:04:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"7","001102Tita","D. mer",04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"8","001104Riv","M. fort",02:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"9","001108Izu","Rheg",03:50:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"10","001108Tita","Rheg",04:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"11","001110Cada","D. mer",04:00:00,1,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE
"12","001114Lab","Rheg",04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"13","001117Izu","G. sal",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"14","001118Tin","G. sal",04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"15","001124Izu","G. sal",02:50:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"16","001125Lab","Phleg",03:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"17","001125Lab","Phleg",03:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"18","001125Lab","Phleg",03:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"19","001125Lab","Phleg",04:00:00,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"20","001125Lab","D. mer",03:45:00,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
"21","001127Edwa","Rheg",01:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"22","001127Edwa","Rheg",04:00:00,2,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE
"23","001128Edw","G. sal",01:20:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"24","001128Edw","G. sal",03:50:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"25","001128Edw","Phleg",01:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"26","001128Edw","G. sal",01:55:00,3,2,0,0,0,1,TRUE,FALSE,FALSE,FALSE
"27","001128Edw","Rheg",04:00:00,6,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE
"28","001128Edwa","Rheg",01:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"29","001128Lab","M. fort",01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"30","001128Lab","M. fort",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"31","001128Lab","G. sal",04:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"32","001128Lab","M. fort",02:00:00,3,0,1,0,0,3,FALSE,TRUE,FALSE,FALSE
"33","001129Lab","G. sal",03:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"34","001129Lab","G. sal",04:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"35","001129Lab","Rheg",03:20:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"36","001129Lab","G. sal",04:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"37","001130Edw","Phleg",04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"38","001130Tit","D. mer",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"39","001201Izu","G. sal",01:20:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"40","001201Izu","G. sal",04:00:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"41","001201Izu","Phleg",03:30:00,2,0,1,0,0,2,FALSE,TRUE,FALSE,FALSE
"42","001201Izu","G. sal",03:30:00,7,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE
"43","001201Lab","D. mer",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"44","001201Lab","M. fort",01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"45","001201Lab","M. fort",02:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"46","001201Lab","Rheg",02:05:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"47","001201Tin","Phleg",02:30:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"48","001201Tin","Phleg",04:00:00,4,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"49","001202Gna","G. sal",01:45:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"50","001202Gna","G. sal",02:30:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"51","001202Tin","Phleg",03:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"52","001204Edw","Rheg",01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"53","001204Edw","G. sal",01:44:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"54","001204Edw","Rheg",02:00:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"55","001204Edw","Phleg",02:56:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"56","001204Edw","G. sal",01:22:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"57","001204Edw","Rheg",03:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"58","001204Edw","Phleg",03:40:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"59","001208Edw","Rheg",03:10:00,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"60","001208Edw","Rheg",01:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"61","001208Edw","G. sal",03:20:00,6,0,2,0,0,4,FALSE,TRUE,FALSE,FALSE
"62","001209Gna","D. mer",03:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"63","001209Nod","G. sal",03:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"64","001209Nod","G. sal",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"65","001209Nod","Phleg",02:40:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"66","001213Edw","Rheg",03:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"67","001215Lab","Rheg",04:00:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"68","001215Stu","M. fort",01:30:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"69","001216Lab","Phleg",01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"70","001216Lab","Phleg",02:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"71","001216Lab","Rheg",04:00:00,5,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"72","001216Tin","D. mer",01:20:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"73","001219Gna","G. sal",04:00:00,0,3,0,0,0,0,TRUE,FALSE,FALSE,FALSE
"74","001219Izu","Rheg",04:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"75","001222Edw","Phleg",01:55:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"76","001222Izu","G. sal",01:30:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"77","001222Izu","Phleg",03:20:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"78","001223Gna","M. fort",04:00:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"79","001226Izu","D. mer",04:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"80","001226Izu","G. sal",02:35:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"81","001226Lab","G. sal",04:00:00,4,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"82","001226Lab","G. sal",04:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"83","001226Tit","Phleg",04:00:00,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"84","001226Tit","G. sal",01:40:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"85","001228Edw","Phleg",01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"86","001228Edw","Phleg",01:30:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"87","001228Edw","D. mer",03:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"88","001228Edw","Phleg",02:22:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"89","001228Izu","G. sal",02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"90","001228Izu","G. sal",02:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"91","001228Izu","G. sal",05:00:00,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"92","001228Tit","D. mer",04:00:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"93","001228Tit","Phleg",02:15:00,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"94","001228Tit","D. mer",04:00:00,5,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"95","001230Edw","Phleg",01:20:00,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"96","001230Edw","Phleg",01:00:00,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"97","001230Edw","Phleg",01:30:00,2,0,0,0,1,2,FALSE,FALSE,FALSE,TRUE
"98","001230Edw","Phleg",08:20:00,6,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE
"99","001230Tit","Rheg",01:47:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"100","001230Tit","Rheg",01:15:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"101","010102Izu","G. sal",01:15:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"102","010102Izu","Rheg",02:00:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"103","010102Izu","M. fort",03:00:00,6,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"104","010102Let","G. sal",02:45:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"105","010102Let","G. sal",03:40:00,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE
"106","010103Edw","Phleg",01:30:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"107","010103Edw","Phleg",01:45:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"108","010103Edw","M. fort",02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"109","010103Edw","Phleg",02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"110","010103Edw","Phleg",02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"111","010103Edw","Phleg",02:56:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"112","010103Edw","Phleg",06:30:00,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"113","010103Edw","Phleg",02:50:00,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE
"114","010103Edw","Phleg",03:22:00,4,0,0,0,1,4,FALSE,FALSE,FALSE,TRUE
"115","010103Izu","G. sal",03:00:00,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"116","010103Izu","G. sal",04:00:00,2,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE
"117","010103Let","Phleg",01:10:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
"118","010103Let","Phleg",02:00:00,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
